阿尔河	aar(n.);
土豚	aardvark(n.);
土猪	aardvark(n.);
土狼	aardwolf(n.);
艾伦	aaron(n.);
亚伦	aaronic(adj.);
秃鹰	aasvogel(n.)|[美]buzzard(n.)|condor(n.)|vulture(n.);
算盘	abaci|abacus;
向後	aback(adv.)|[海]astern(adv.)|backkward(adv.)|backward(adj.)|backwards(adv.)|fro(adv.);
逆帆	aback(adv.);
地狱	abaddon(n.)|abysm(n.)|blaze(n.)|hell(n.)|infernal(adj.)|inferno(n.)|underworld(n.);
无底坑	abaddon(n.);
在船尾	abaft(adv.)|[海]astern(adv.);
向船尾	abaft(adv.)|[海]astern(adv.);
在…後	abaft(adv.);
移转	abalienate(v.)|devolve(v.)|shift(v.);
石决明	abalone(n.);
鲍鱼	[贝]abalone(n.)|seaear(n.);
放肆	abandon(n.)|licentious(adj.)|presumptuous(adj.);
放弃	abandon(vt.)|abdicant(adj.)|abdicate(v.)|abdication(n.)|cede(vt.)|disclaim(v.)|divest(vt.)|drop(v.)|relinquish(v.)|renounce(v.)|renunciation(n.)|resign(v.)|resigned(v.)|waiver(n.);
遗弃	abandon(vt.)|desertion(n.)|leave(v.);
沉迷	abandon(vt.);
放纵	abandon(vt.)|apolaustic(adj.)|cocker(vt.)|indulgence(n.)|selfindulgence(n.)|selfindulgent(adj.);
遗弃者	abandoner(n.);
委付者	abandoner(n.);
被放弃	abandonment(n.);
断念	abandonment(n.)|desist(vi.);
打倒	abas(v.)|down(vt.)|floor(vt.)|overthrow(n.)|stonker(v.)|subversion(n.);
降	abase(vt.);
贬	abase(vt.);
降低	abase(vt.)|debase(vt.)|decline(n.)|drop(v.)|humble(vt.)|sank(v.)|sinking(v.);
贬黜	abasement(n.);
屈辱	abasement(n.);
羞耻	abashment(n.)|ashamed(adj.)|mortification(n.);
困惑	abashment(n.)|annoyance(n.)|bemused(adj.)|confusion(n.)|maze(n.)|perplexed(adj.)|perplexity(n.)|puzzled(v.)|quandary(n.);
减少	abate(vt.)|abatement(n.)|attenuation(n.)|bate(v.)|cut(n.)|decrease(n.)|decrease(v.)|descend(v.)|impair(vt.)|lessen(v.)|reduce(v.)|reducing(v.)|reduction(n.)|reductive(adj.)|subtract(v.);
缓和	abate(vt.)|alleviation(n.)|alleviative(adj.)|appease(vt.)|assuage(vt.)|lull(v.)|mitigate(vt.)|mitigation(n.)|moderation(n.)|mollify(vt.)|remit(v.)|soothe(v.)|subdual(n.)|temper(v.);
排除	[法]abate(vt.)|abatement(n.)|debar(vt.)|dispose(v.)|elimination(n.)|exclude(vt.)|exclusion(n.)|obviate(vt.);
使无效	[法]abate(vt.)|invalidate(vt.)|mock(v.)|[像]negative(vt.)|nullify(vt.)|rescind(v.)|vitiation(n.);
减退	[法]abate(vi.)|bate(v.)|decrease(n.)|slip(v.);
中止	[法]abate(vi.)|[法]abate(n.)|abeyance(n.)|ceasing(n.)|chuck(n.)|discontinuance(n.)|intermission(n.)|intermit(v.)|interruption(n.)|pause(n.)|pause(v.)|surcease(v.)|suspension(n.);
失效	[法]abate(vi.)|[法]abate(n.);
减低	[法]abate(n.)|reduce(v.)|reducing(v.)|shrinkage(n.);
减轻	abatement(n.)|allay(vt.)|alleviation(n.)|alleviative(adj.)|assuage(vt.)|ease(v.)|extenuate(vt.)|extenuation(n.)|kill(v.)|lighten(v.)|mitigate(vt.)|palliative(n.)|relaxation(n.)|relief(n.)|relieve(v.)|remissive(adj.)|remittal(n.);
中断	abatement(n.)|intermission(n.);
消除	abatment(n.)|disarm(v.)|dispel(v.)|raze(v.)|wipe(v.);
灭除	abatment(n.);
屠宰场	abattoir(n.)|[英]butchery(n.);
轴外	abaxial(adj.);
父神	abba(n.);
天父	abba(n.);
阿爸	abba(n.);
使习惯	abbatial(vt.)|accustom(vt.);
修道院	abbey(n.)|cloister(n.)|monastery(n.);
寺院	abbey(n.);
庵堂	abbey(n.);
省略	abbreviate(vt.)|bypass(v.)|miss|omission(n.);
缩短	abbreviate(vt.)|abridge(vt.)|abridgment(n.)|curtail(vt.)|retrench(v.)|telescope(v.);
简短	abbreviated(adj.)|brief(adj.);
小型	abbreviated(adj.);
略语	abbreviation(n.);
缩语	abbreviation(n.);
节略者	abbreviator(n.);
缩写者	abbreviator(n.);
初步	abc(n.)|abecedarian(nbspadj.)|accidence(n.)|alphabet(n.)|elemental(adj.)|elementary(adj.)|preparatory(adj.)|principium(n.)|rudiment(n.)|rudimentary(adj.);
入门	abc(n.)|accidence(n.)|alphabet(n.)|[美]entry(n.);
放弃者	abdicant(n.)|abdicator(n.);
退位者	abdicant(n.);
逊位	abdicant(adj.);
抛弃	abdicant(adj.)|chuck(n.);
弃权	abdicate(v.)|abdication(n.)|abstain(vi.)|abstention(n.)|[法]nonuser(n.)|renunciation(n.)|waiver(n.);
退位	abdicate(v.);
辞职	abdicate(v.)|quit(v.)|resign(v.)|resignation(n.)|resigned(v.);
让位	abdication(n.)|demise(n.);
退职	abdication(n.);
让位者	abdicator(n.);
神仆	abdiel(n.);
下腹部	abdomen(n.);
使外转	abduce(v.)|[生]abduct(vt.);
外展	abduce(v.)|abducent(adj.);
引去	abduce(v.);
诱拐	abduct(vt.)|abduction(n.)|spirit(v.);
拐走	abduct(vt.)|kidnap(vt.);
外转	abduction(n.);
诱拐者	abductor(n.);
外转肌	[解]abductor(n.);
亚伯	abe(n.)|[圣]abel(n.);
的昵称	abe(n.)|[B-]ben(n.)|betsy(n.)|jack(n.);
正横	[航]abeam(adv.);
初学者	abecedarian(n.)|beginner(n.)|novice(n.)|tyro(n.);
基本	abecedarian(nbspadj.)|basal(adj.)|basic(adj.)|elemental(adj.)|elementary(adj.)|fundamental(adj.)|primarily(adv.)|rudiment(n.)|rudimentary(adj.)|standard(adj.);
在床上	abed(adv.);
白杨	abele(n.)|asp(n.)|asp(adj.)|[植]aspen(n.);
秋葵	abelmosk(n.);
鶸	aberdevine(n.);
迷信	aberglaube(n.)|cult(n.)|superstition(n.)|superstitious(adj.);
越轨	aberration(n.)|deviate(vi.)|deviation(n.);
唆使	abet(vt.);
怂恿	abet(vt.)|instigate(vt.)|instigation(n.)|seduce(v.)|seducement(n.)|seduction(n.)|urged(v.);
煽动	abet(vt.)|abetment(n.)|demagogic(adj.)|inflame(v.)|inflammatory(adj.)|instigate(vt.)|instigation(n.)|kindle(vt.)|kindling(n.);
教唆	abetment(n.);
助长	abetment(n.)|facilitate(vt.)|[运]forward(vt.)|foster(vt.)|furtherance(n.)|promotive(adj.);
暂拦	abeyance(n.);
未定	abeyant(adj.)|undecided(adj.);
暂搁	abeyant(adj.);
憎恶	abhor(vt.)|anathematic(adj.)|anathematically(adv.)|animostiy(n.)|dislike(n.)|odium(n.)|resent(v.);
厌弃	abhor(vt.)|ah(int.);
厌恶	abhorrence(n.)|abominate(vt.)|abomination(n.)|allergy(n.)|anathematic(adj.)|anathematically(adv.)|distaste(n.)|loath(adj.)|phobe|reluctance(n.)|reluctantly(adv.);
讨厌	abhorrent(adj.)|abominable(adj.)|boredom(n.)|bothersome(adj.)|dislike(n.)|disrelish(n.)|[俗]dreadful(adj.)|hateful(adj.)|hatefully(adv.)|hatefulness(n.)|[俗]horrible(adj.)|[俗]horrid(adj.)|irksome(adj.)|loath(adj.)|loathesome(adj.)|mawkish(adj.)|obnoxious(adj.)|odious(adj.)|odiously(adv.)|odiousness(n.)|offensive(adj.)|pesky(adj.)|pinprick(n.)|rank(adj.)|repellent(adj.)|repugnant(adj.)|revolting(adj.)|troublesome(adj.);
