#在候选词中：支持使用 &nbsp 来定义空格，支持使用 <br> 来定义换行，而正常的空格被用于分词

# 不同的应用，使用不同的简写做为前缀：
# 微信	Wx
# 飞书	Fs
# 钉钉	Dt
# QQ	Qq
# 表情表达式（例如：[Done]；再如：/hanx)放于{}内，例如{[Done]}；再如{/hanx}
done 完成 搞定	esFs{[完成]} esDt{[Done]}
get 了解 知道	esFs{[了解]} esDt{[Get]}
no 不行	esFs{[No]} esFs{[叉号]} esDt{[打叉]}
错 错误	esFs{[叉号]} esDt{[打叉]}
ok 行 好的 好吧 可以	esFsWxDt{[OK]}
好 好的	esFs{[Yes]} esWx{[好的]}
行	esFs{[我看行]} esFs{[好的]}
okr 绩效	esFsDt{[OKR]}
x 叉 叉号 错 不对 不行	esFs{[叉号]} esDt{[打叉]}
yes 是的 正确	esFs{[Yes]}
vr	esFs{[VR]}
问号 啥 疑问 狐疑	esFs{[什么？]} esWxDt{[疑问]}
费解 问号 疑问	esDt{[费解]}
爱心	esFsWxDt{[爱心]}
客服	esDt{[客服]}
傲慢	esWx{[傲慢]}
虚拟 眼镜	esDt{[AR]}
蜜蜂	esDt{[小蜜蜂]}
兔子	esDt{[兔飞猛进]}
老虎	esDt{[虎虎生威]}
猫 猫咪	esDt{[猫咪]}
白眼	esFsWxDt{[白眼]} esFsWx{[翻白眼]}
拜拜 再见	esFsWxDt{[再见]}
抱抱 安慰	esFs{[求抱抱]} esDt{[抱抱]}
爆竹 鞭炮	esFsDt{[爆竹]}
背叛	esFs{[背叛]}
高铁 火车	esDt{[高铁]}
火箭	esDt{[火箭]}
投降	esDt{[投降]}
邮件	esDt{[邮件]}
文档	esDt{[文档]}
演示	esDt{[演示]}
表格	esDt{[表格]}
垃圾 纸篓	esDt{[废纸篓]}
手机 电话	esDt{[手机]}
鄙视	esFsWxDt{[鄙视]} esFs{[踩]} esFsDt{[白眼]} esWx{[弱]}
闭嘴	esFsWxDt{[闭嘴]}
便便	esWx{[便便]}
不看 捂脸 掩面	esFs{[不看]} esFs{[捂脸]} esDt{[捂眼睛]} esDt{[捂脸哭]}
捂眼	esDt{[捂眼睛]}
擦汗	esWx{[擦汗]}
财迷	esFsDt{[财迷]}
迷惑	esDt{[迷惑]}
彩虹	esFsDt{[彩虹]}
踩	esFs{[踩]}
一点 一些 少许	esDt{[一点点]}
捏住	esDt{[捏住]}
菜刀	esWx{[菜刀]}
耶 成功 显摆	esFsWxDt{[耶]}
吃饭	esFs{[吃饭]}
吃瓜	esWxDt{[吃瓜]}
抽泣	esFs{[泣不成声]}
出差	esFsDt{[出差]}
出行	esFs{[出行]}
春节	esFsDt{[烟花]} esFs{[雪人]}
打 敲打	esFsWxDt{[敲打]}
发财	esDt{[恭喜发财]}
打脸	esFsWx{[打脸]}
捧脸	esDt{[捧脸]}
哭 大哭	esFsWx{[大哭]}
大笑	esFsDt{[大笑]}
呆 发呆	esWxDt{[发呆]}
呆 惊呆	esFs{[惊呆]}
呆	esFs{[呆无辜]}
蛋糕	esFsWx{[蛋糕]}
刀	esFs{[刀]}
得意	esFsWx{[得意]}
点击	esFs{[点击]}
电视	esFs{[电视]}
电影	esFs{[电影]}
凋谢	esWx{[凋谢]}
渡假 休假	esFs{[美好生活]} esDt{[休假]}
对 确认	esFs{[Yes]} esFsDt{[100分]}
对 勾 勾号 对号 对勾 确认	esFs{[勾号]} esDt{[对勾]}
发 发财	esFs{[发]}
发抖	esWx{[发抖]}
发怒	esFsWxDt{[发怒]}
烦躁	esFs{[烦躁]}
飞机	esFs{[飞行中]} esDt{[出差]}
奋斗 努力	esFsWx{[奋斗]}
福 福气 有福	esFsDt{[福]}
负 倒退	esFs{[-1]}
尬笑	esFs{[尬笑]}
尴尬	esFs{[尬笑]} esWxDt{[尴尬]}
公交	esFs{[公交车]}
公牛	esFs{[公牛]}
灯笼	esDt{[灯笼]}
勾引 来呀	esWx{[勾引]} esDt{[来呀]}
狗头	esFs{[看]} esFs{[呆无辜]} esFs{[白眼]} esWx{[旺柴]} esDt{[狗子]}
二哈	esDt{[二哈]}
鼓掌	esFs{[鼓掌]} esWx{[鼓掌]}
鬼脸	esFs{[做鬼脸]} esDt{[鬼脸]}
凄凉 凄惨 凄苦	esDt{[凄凉]}
乱麻	esDt{[一团乱麻]}
滚	esFs{[闭嘴]}
郁闷	esDt{[郁闷]}
拜托	esDt{[拜托]}
欠扁 欠抽	esDt{[欠扁]}
承让	esDt{[承让]}
屎 尿 屁 三多	esDt{[三多]}
哈欠	esFsWx{[哈欠]}
羞 害羞	esFsWxDt{[害羞]}
憨笑 开心	esDt{[开心]} esFsWxDt{[憨笑]} esFs{[笑容满面]}
嘿嘿	esDt{[嘿嘿]}
汗 流汗 擦汗	esFs{[汗]} esWxDt{[流汗]} esWx{[擦汗]}
喝彩	esFs{[欢兔喝彩]}
黑线	esFs{[黑线]} esFs{[新月脸]}
眼圈 熬夜 通宵	esDt{[黑眼圈]}
黑脸	esFs{[新月脸]}
嘿哈	esWx{[嘿哈]}
坏笑 邪恶	esFsWxDt{[坏笑]} esWx{[阴险]} esWx{[奸笑]}
奸笑	esWx{[奸笑]} esFsWxDt{[坏笑]}
阴险	esWx{[阴险]} esFsWxDt{[坏笑]}
斜眼	esFsWxDt{[坏笑]} esWx{[奸笑]}
算账 会计 财务	esDt{[算账]}
比赛 单挑	esDt{[PK]}
忍者	esDt{[忍者]}
哼	esWx{[左哼哼]} esWx{[右哼哼]} esWx{[傲慢]} esDt{[哼]}
左 向左	esDt{[向左]}
右 向右	esDt{[向右]}
上 向上	esDt{[向上]}
